[1/72] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[46/72] qwen3.5:9b | eval-expression | mt_en | sample1 -- skip (already done)
[47/72] qwen3.5:9b | eval-expression | mt_en | sample2 -- skip (already done)
[48/72] qwen3.5:9b | eval-expression | mt_en | sample3 -- skip (already done)
[49/72] qwen3.5:9b | shortest-path | en_human | sample1 -- ok (94.4s)
[50/72] qwen3.5:9b | shortest-path | en_human | sample2 -- ok (86.5s)
[51/72] qwen3.5:9b | shortest-path | en_human | sample3 -- ok (45.0s)
[52/72] qwen3.5:9b | shortest-path | ja_raw | sample1 -- ok (34.1s)
[53/72] qwen3.5:9b | shortest-path | ja_raw | sample2 -- ok (28.6s)
[54/72] qwen3.5:9b | shortest-path | ja_raw | sample3 -- ok (66.2s)
[55/72] qwen3.5:9b | shortest-path | ja_directive | sample1 -- ok (86.0s)
[56/72] qwen3.5:9b | shortest-path | ja_directive | sample2 -- ok (85.6s)
[57/72] qwen3.5:9b | shortest-path | ja_directive | sample3 -- ok (85.6s)
[58/72] qwen3.5:9b | shortest-path | mt_en | sample1 -- ok (28.7s)
[59/72] qwen3.5:9b | shortest-path | mt_en | sample2 -- ok (39.7s)
[60/72] qwen3.5:9b | shortest-path | mt_en | sample3 -- ok (44.5s)
[61/72] qwen3.5:9b | bank-rollback | en_human | sample1 -- ok (18.3s)
[62/72] qwen3.5:9b | bank-rollback | en_human | sample2 -- ok (16.7s)
[63/72] qwen3.5:9b | bank-rollback | en_human | sample3 -- ok (16.9s)
[64/72] qwen3.5:9b | bank-rollback | ja_raw | sample1 -- ok (69.8s)
[65/72] qwen3.5:9b | bank-rollback | ja_raw | sample2 -- ok (16.1s)
[66/72] qwen3.5:9b | bank-rollback | ja_raw | sample3 -- ok (19.8s)
[67/72] qwen3.5:9b | bank-rollback | ja_directive | sample1 -- ok (51.1s)
[68/72] qwen3.5:9b | bank-rollback | ja_directive | sample2 -- ok (86.1s)
[69/72] qwen3.5:9b | bank-rollback | ja_directive | sample3 -- ok (82.1s)
[70/72] qwen3.5:9b | bank-rollback | mt_en | sample1 -- ok (31.0s)
[71/72] qwen3.5:9b | bank-rollback | mt_en | sample2 -- ok (32.6s)
[72/72] qwen3.5:9b | bank-rollback | mt_en | sample3 -- ok (19.3s)

--- run complete ---
total slots:      72
skipped (no prompt yet): 0
skipped (already done):  48
failed:                  0
