[1/144] qwen3.5:9b | business-days | en_human | sample1 -- skip (already done)
[26/144] qwen3.5:9b | currency-format | en_human | sample2 -- skip (already done)
[27/144] qwen3.5:9b | currency-format | en_human | sample3 -- skip (already done)
[28/144] qwen3.5:9b | currency-format | en_human | sample4 -- ok (31.1s)
[29/144] qwen3.5:9b | currency-format | en_human | sample5 -- ok (32.9s)
[30/144] qwen3.5:9b | currency-format | en_human | sample6 -- ok (26.9s)
[31/144] qwen3.5:9b | currency-format | ja_raw | sample1 -- skip (already done)
[32/144] qwen3.5:9b | currency-format | ja_raw | sample2 -- skip (already done)
[33/144] qwen3.5:9b | currency-format | ja_raw | sample3 -- skip (already done)
[34/144] qwen3.5:9b | currency-format | ja_raw | sample4 -- ok (28.1s)
[35/144] qwen3.5:9b | currency-format | ja_raw | sample5 -- ok (20.5s)
[36/144] qwen3.5:9b | currency-format | ja_raw | sample6 -- ok (61.6s)
[37/144] qwen3.5:9b | currency-format | ja_directive | sample1 -- skip (already done)
[38/144] qwen3.5:9b | currency-format | ja_directive | sample2 -- skip (already done)
[39/144] qwen3.5:9b | currency-format | ja_directive | sample3 -- skip (already done)
[40/144] qwen3.5:9b | currency-format | ja_directive | sample4 -- ok (296.2s)
[41/144] qwen3.5:9b | currency-format | ja_directive | sample5 -- ok (196.6s)
[42/144] qwen3.5:9b | currency-format | ja_directive | sample6 -- ok (206.5s)
[43/144] qwen3.5:9b | currency-format | mt_en | sample1 -- skip (already done)
[44/144] qwen3.5:9b | currency-format | mt_en | sample2 -- skip (already done)
[45/144] qwen3.5:9b | currency-format | mt_en | sample3 -- skip (already done)
[46/144] qwen3.5:9b | currency-format | mt_en | sample4 -- ok (23.0s)
[47/144] qwen3.5:9b | currency-format | mt_en | sample5 -- ok (39.0s)
[48/144] qwen3.5:9b | currency-format | mt_en | sample6 -- ok (501.3s)
[49/144] qwen3.5:9b | reverse-list-elements | en_human | sample1 -- skip (already done)
[50/144] qwen3.5:9b | reverse-list-elements | en_human | sample2 -- skip (already done)
[51/144] qwen3.5:9b | reverse-list-elements | en_human | sample3 -- skip (already done)
[52/144] qwen3.5:9b | reverse-list-elements | en_human | sample4 -- ok (29.9s)
[53/144] qwen3.5:9b | reverse-list-elements | en_human | sample5 -- ok (20.0s)
[54/144] qwen3.5:9b | reverse-list-elements | en_human | sample6 -- ok (26.2s)
[55/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample1 -- skip (already done)
[56/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample2 -- skip (already done)
[57/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample3 -- skip (already done)
[58/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample4 -- ok (36.5s)
[59/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample5 -- ok (19.0s)
[60/144] qwen3.5:9b | reverse-list-elements | ja_raw | sample6 -- ok (13.9s)
[61/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample1 -- skip (already done)
[62/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample2 -- skip (already done)
[63/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample3 -- skip (already done)
[64/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample4 -- ok (167.3s)
[65/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample5 -- ok (156.9s)
[66/144] qwen3.5:9b | reverse-list-elements | ja_directive | sample6 -- ok (137.4s)
[67/144] qwen3.5:9b | reverse-list-elements | mt_en | sample1 -- skip (already done)
[68/144] qwen3.5:9b | reverse-list-elements | mt_en | sample2 -- skip (already done)
[69/144] qwen3.5:9b | reverse-list-elements | mt_en | sample3 -- skip (already done)
[70/144] qwen3.5:9b | reverse-list-elements | mt_en | sample4 -- ok (29.0s)
[71/144] qwen3.5:9b | reverse-list-elements | mt_en | sample5 -- ok (29.4s)
[72/144] qwen3.5:9b | reverse-list-elements | mt_en | sample6 -- ok (35.1s)
[73/144] qwen3.5:9b | eval-expression | en_human | sample1 -- skip (already done)
[74/144] qwen3.5:9b | eval-expression | en_human | sample2 -- skip (already done)
[75/144] qwen3.5:9b | eval-expression | en_human | sample3 -- skip (already done)
[76/144] qwen3.5:9b | eval-expression | en_human | sample4 -- ok (62.3s)
[77/144] qwen3.5:9b | eval-expression | en_human | sample5 -- ok (100.4s)
[78/144] qwen3.5:9b | eval-expression | en_human | sample6 -- ok (509.5s)
[79/144] qwen3.5:9b | eval-expression | ja_raw | sample1 -- skip (already done)
[80/144] qwen3.5:9b | eval-expression | ja_raw | sample2 -- skip (already done)
[81/144] qwen3.5:9b | eval-expression | ja_raw | sample3 -- skip (already done)
[82/144] qwen3.5:9b | eval-expression | ja_raw | sample4 -- ok (56.1s)
[83/144] qwen3.5:9b | eval-expression | ja_raw | sample5 -- ok (46.3s)
[84/144] qwen3.5:9b | eval-expression | ja_raw | sample6 -- ok (41.6s)
[85/144] qwen3.5:9b | eval-expression | ja_directive | sample1 -- skip (already done)
[86/144] qwen3.5:9b | eval-expression | ja_directive | sample2 -- skip (already done)
[87/144] qwen3.5:9b | eval-expression | ja_directive | sample3 -- skip (already done)
[88/144] qwen3.5:9b | eval-expression | ja_directive | sample4 -- ok (202.5s)
[89/144] qwen3.5:9b | eval-expression | ja_directive | sample5 -- ok (180.6s)
[90/144] qwen3.5:9b | eval-expression | ja_directive | sample6 -- ok (178.7s)
[91/144] qwen3.5:9b | eval-expression | mt_en | sample1 -- skip (already done)
[92/144] qwen3.5:9b | eval-expression | mt_en | sample2 -- skip (already done)
[93/144] qwen3.5:9b | eval-expression | mt_en | sample3 -- skip (already done)
[94/144] qwen3.5:9b | eval-expression | mt_en | sample4 -- ok (59.1s)
[95/144] qwen3.5:9b | eval-expression | mt_en | sample5 -- ok (45.1s)
[96/144] qwen3.5:9b | eval-expression | mt_en | sample6 -- ok (57.9s)
[97/144] qwen3.5:9b | shortest-path | en_human | sample1 -- skip (already done)
[98/144] qwen3.5:9b | shortest-path | en_human | sample2 -- skip (already done)
[99/144] qwen3.5:9b | shortest-path | en_human | sample3 -- skip (already done)
[100/144] qwen3.5:9b | shortest-path | en_human | sample4 -- ok (43.6s)
[101/144] qwen3.5:9b | shortest-path | en_human | sample5 -- ok (41.8s)
[102/144] qwen3.5:9b | shortest-path | en_human | sample6 -- ok (34.4s)
[103/144] qwen3.5:9b | shortest-path | ja_raw | sample1 -- skip (already done)
[104/144] qwen3.5:9b | shortest-path | ja_raw | sample2 -- skip (already done)
[105/144] qwen3.5:9b | shortest-path | ja_raw | sample3 -- skip (already done)
[106/144] qwen3.5:9b | shortest-path | ja_raw | sample4 -- ok (33.5s)
[107/144] qwen3.5:9b | shortest-path | ja_raw | sample5 -- ok (185.6s)
[108/144] qwen3.5:9b | shortest-path | ja_raw | sample6 -- ok (175.1s)
[109/144] qwen3.5:9b | shortest-path | ja_directive | sample1 -- skip (already done)
[110/144] qwen3.5:9b | shortest-path | ja_directive | sample2 -- skip (already done)
[111/144] qwen3.5:9b | shortest-path | ja_directive | sample3 -- skip (already done)
[112/144] qwen3.5:9b | shortest-path | ja_directive | sample4 -- ok (162.7s)
[113/144] qwen3.5:9b | shortest-path | ja_directive | sample5 -- ok (198.2s)
[114/144] qwen3.5:9b | shortest-path | ja_directive | sample6 -- ok (256.9s)
[115/144] qwen3.5:9b | shortest-path | mt_en | sample1 -- skip (already done)
[116/144] qwen3.5:9b | shortest-path | mt_en | sample2 -- skip (already done)
[117/144] qwen3.5:9b | shortest-path | mt_en | sample3 -- skip (already done)
[118/144] qwen3.5:9b | shortest-path | mt_en | sample4 -- ok (47.9s)
[119/144] qwen3.5:9b | shortest-path | mt_en | sample5 -- ok (47.0s)
[120/144] qwen3.5:9b | shortest-path | mt_en | sample6 -- ok (47.1s)
[121/144] qwen3.5:9b | bank-rollback | en_human | sample1 -- skip (already done)
[122/144] qwen3.5:9b | bank-rollback | en_human | sample2 -- skip (already done)
[123/144] qwen3.5:9b | bank-rollback | en_human | sample3 -- skip (already done)
[124/144] qwen3.5:9b | bank-rollback | en_human | sample4 -- ok (17.8s)
[125/144] qwen3.5:9b | bank-rollback | en_human | sample5 -- ok (18.7s)
[126/144] qwen3.5:9b | bank-rollback | en_human | sample6 -- ok (34.6s)
[127/144] qwen3.5:9b | bank-rollback | ja_raw | sample1 -- skip (already done)
[128/144] qwen3.5:9b | bank-rollback | ja_raw | sample2 -- skip (already done)
[129/144] qwen3.5:9b | bank-rollback | ja_raw | sample3 -- skip (already done)
[130/144] qwen3.5:9b | bank-rollback | ja_raw | sample4 -- ok (23.1s)
[131/144] qwen3.5:9b | bank-rollback | ja_raw | sample5 -- ok (22.9s)
[132/144] qwen3.5:9b | bank-rollback | ja_raw | sample6 -- ok (103.3s)
[133/144] qwen3.5:9b | bank-rollback | ja_directive | sample1 -- skip (already done)
[134/144] qwen3.5:9b | bank-rollback | ja_directive | sample2 -- skip (already done)
[135/144] qwen3.5:9b | bank-rollback | ja_directive | sample3 -- skip (already done)
[136/144] qwen3.5:9b | bank-rollback | ja_directive | sample4 -- ok (141.6s)
[137/144] qwen3.5:9b | bank-rollback | ja_directive | sample5 -- ok (139.7s)
[138/144] qwen3.5:9b | bank-rollback | ja_directive | sample6 -- ok (159.2s)
[139/144] qwen3.5:9b | bank-rollback | mt_en | sample1 -- skip (already done)
[140/144] qwen3.5:9b | bank-rollback | mt_en | sample2 -- skip (already done)
[141/144] qwen3.5:9b | bank-rollback | mt_en | sample3 -- skip (already done)
[142/144] qwen3.5:9b | bank-rollback | mt_en | sample4 -- ok (30.2s)
[143/144] qwen3.5:9b | bank-rollback | mt_en | sample5 -- ok (35.2s)
[144/144] qwen3.5:9b | bank-rollback | mt_en | sample6 -- ok (23.3s)

--- run complete ---
total slots:      144
skipped (no prompt yet): 0
skipped (already done):  60
failed:                  0
